binary_output_accuracy,binary_output_loss,depth_output_loss,depth_output_mae,intensity_output_loss,intensity_output_mae,loss,magnitude_output_loss,magnitude_output_mae,val_binary_output_accuracy,val_binary_output_loss,val_depth_output_loss,val_depth_output_mae,val_intensity_output_loss,val_intensity_output_mae,val_loss,val_magnitude_output_loss,val_magnitude_output_mae
0.9724512100219727,0.041485048830509186,683.4253540039062,16.374170303344727,2.16862154006958,1.1201931238174438,688.2249755859375,2.361063003540039,1.1639529466629028,1.0,3.834274139080662e-06,719.1992797851562,15.597823143005371,1.362304449081421,0.8896281123161316,722.7596435546875,2.4760732650756836,1.4022880792617798
1.0,0.00012723394320346415,658.3661499023438,16.046674728393555,1.4324135780334473,0.9463890194892883,661.310791015625,1.287689208984375,0.9020041227340698,1.0,7.020500197540969e-05,791.6641235351562,15.770724296569824,0.9561642408370972,0.839123010635376,793.78466796875,1.7687755823135376,1.1312299966812134
1.0,8.017327490961179e-05,652.72509765625,16.022459030151367,1.3494278192520142,0.9179868102073669,655.4323120117188,1.1412290334701538,0.8534642457962036,1.0,7.699103662162088e-06,702.6770629882812,15.8896484375,0.9984774589538574,0.8538747429847717,704.081298828125,0.573491096496582,0.6118236780166626
1.0,4.0159127820516005e-05,652.5987548828125,15.970520973205566,1.3334654569625854,0.9174006581306458,655.2608642578125,1.0981698036193848,0.8342481255531311,1.0,2.173728489651694e-06,850.2301635742188,16.34387969970703,0.9368054270744324,0.8167343735694885,851.2157592773438,0.7211453914642334,0.6398033499717712
1.0,1.2569583304866683e-05,652.5446166992188,15.967733383178711,1.3208528757095337,0.9089597463607788,655.202392578125,1.0898873805999756,0.8273019194602966,1.0,3.36880461304645e-08,753.6950073242188,15.5098295211792,1.134214162826538,0.8523645997047424,755.087158203125,0.6011102795600891,0.5845299959182739
1.0,3.906202891812427e-06,651.7967529296875,15.918557167053223,1.259079098701477,0.8858550786972046,654.3045654296875,1.0175071954727173,0.8036373853683472,1.0,9.84172299212105e-10,765.04541015625,15.645474433898926,5.523499011993408,2.1380674839019775,776.0147705078125,5.878320693969727,2.257603883743286
1.0,1.6397352737840265e-06,648.7349243164062,15.938905715942383,1.2384424209594727,0.884563148021698,651.1724853515625,0.9644185900688171,0.7819865345954895,1.0,5.840727794748091e-07,697.41455078125,16.393077850341797,1.1451658010482788,0.8819586038589478,700.5665283203125,2.0550832748413086,1.2275445461273193
1.0,4.275168521417072e-06,648.354736328125,15.855982780456543,1.2482514381408691,0.8841083645820618,650.7889404296875,0.9534206390380859,0.7728884220123291,1.0,1.9852352579619037e-06,889.6959228515625,16.86982536315918,1.0413957834243774,0.8251808881759644,890.806884765625,0.772638738155365,0.6697478890419006
1.0,2.980842509714421e-06,647.75244140625,15.889636993408203,1.2411384582519531,0.8804733157157898,650.167724609375,0.9544767141342163,0.770999014377594,1.0,2.5149014618364163e-05,796.8079223632812,16.12510871887207,0.9988877773284912,0.8528685569763184,798.334716796875,1.1922188997268677,0.8676449656486511
1.0,5.930129646003479e-06,647.4197998046875,15.892640113830566,1.2379246950149536,0.8829341530799866,649.810546875,0.9274221062660217,0.7607531547546387,1.0,6.020986234034353e-07,755.9517822265625,15.636902809143066,1.5521652698516846,0.9851155877113342,760.0260009765625,2.8831188678741455,1.540924072265625
