binary_output_accuracy,binary_output_loss,loss,magnitude_output_loss,magnitude_output_mae,val_binary_output_accuracy,val_binary_output_loss,val_loss,val_magnitude_output_loss,val_magnitude_output_mae
0.9284301996231079,0.17372345924377441,1.8524032831192017,1.6726020574569702,0.9721079468727112,1.0,0.0042782993987202644,0.9838393330574036,0.9788798093795776,0.7667906284332275
1.0,0.0041461423970758915,0.844022810459137,0.8382632732391357,0.7195188403129578,1.0,0.0004943564417771995,0.8448117971420288,0.8437137603759766,0.7003949880599976
1.0,0.0012938946019858122,0.7585940957069397,0.7562048435211182,0.6805199980735779,1.0,0.00014719110913574696,0.8507410287857056,0.850374698638916,0.7041090726852417
1.0,0.00044488123967312276,0.7221264243125916,0.7198524475097656,0.6682896018028259,1.0,2.1163734345464036e-05,0.6433985829353333,0.6427708864212036,0.6003468632698059
1.0,0.0003090676909778267,0.7026665210723877,0.6999419927597046,0.6583645343780518,1.0,9.457736268814187e-06,0.6798492074012756,0.68006831407547,0.6166718602180481
1.0,0.00017627698252908885,0.6861945986747742,0.6836408972740173,0.649868905544281,1.0,5.614924702967983e-06,0.7668495774269104,0.7670174241065979,0.659072756767273
1.0,0.00018417993851471692,0.6896808743476868,0.687874436378479,0.6536632776260376,1.0,5.5841287576186005e-06,0.7709892988204956,0.770760178565979,0.6657956838607788
1.0,0.00010881991329370067,0.675824761390686,0.6722358465194702,0.644644021987915,1.0,3.727739340320113e-06,0.8982508778572083,0.8986425399780273,0.7284022569656372
1.0,0.00010892166756093502,0.6686742901802063,0.6657305359840393,0.6424886584281921,1.0,4.24454719905043e-06,1.0276786088943481,1.0287444591522217,0.7941625118255615
1.0,0.00023596642131451517,0.6683733463287354,0.6647514700889587,0.6430442929267883,1.0,6.73422164254589e-06,1.1694103479385376,1.1705108880996704,0.8652995228767395
1.0,0.00015806651208549738,0.6591793298721313,0.6565104126930237,0.6384209990501404,1.0,3.3258409075642703e-06,0.9772096276283264,0.9778019785881042,0.7676312923431396
1.0,0.00020448924624361098,0.6626178026199341,0.6594415307044983,0.6382354497909546,1.0,2.547925078033586e-06,0.9186348915100098,0.9195979237556458,0.7389557957649231
1.0,0.00012777475058101118,0.6508280038833618,0.6497055888175964,0.6338629126548767,1.0,4.771149633597815e-06,0.9103534817695618,0.9113651514053345,0.7343441247940063
1.0,0.0001401214103680104,0.6497678756713867,0.6469969153404236,0.630993664264679,1.0,2.552731302785105e-06,0.8867502212524414,0.8876756429672241,0.7205467224121094
